; Hulk, Leia Organa
Stardew Valley Bachelors; Alex
Stoic; Mai, Ryu
Store Clerk; Amazi-Girl
Straight Man; Bert
Strategist; Bean
Straw Hat Pirates; Brook
Street Fighter; Akuma, Chun-Li, Ken, M. Bison, Ryu, Seth
Strong; Amadeus Cho, Dedue, Hulk
Strong Man; Brick, Brimstone, Buford Van Stomm
Strong Will; Ann Takamaki
Studious; Hermione Granger
Stupid; Bill Kerman, Smiley Bone
Suave; Boun
Submarine; Captain Nemo
Suicide Squad; Amanda Waller, Captain Boomerang
Suit; Falcon
Summer; Olaf
Sun; Apollo
Super Smash Bros; Banjo, Bayonetta, Bowser Jr., Bowser, Captain Falcon, Kazooie, Ken, Luigi, Mario, Princess Daisy, Princess Peach, Rosalina, Ryu
Super Smash Bros Original Cast; Mario
Super-Soldier Serum; Bucky Barnes, Captain America
Superhero; Agent Venom, Alan Scott, Amazi-Girl, Angel, Aurora, Barbara Gordon, Beast, Black Canary, Kal-L, Northstar, Storm
Superheroes; Barry Allen, Bart Allen, Cassie Lang, Hank Pym, Hope van Dyne, Janet van Dyne, Jay Garrick, Nadia van Dyne, Scott Lang, Supergirl, Superman, Wally West
Supersonic; Banshee
Supervillain; Alexander Luthor Jr., Baron Zemo, Superboy Prime
Survivalist; Brian Robeson
Survivor; Maxwell
Swordsman; Aragorn, Arya, Boromir, Brook, Catherine
Symbiote; Agent Venom
Tailor; Blitzen
Tall; Smiley Bone
Talon; Sombra
Team Avatar (Korra); Bolin
Team Fortress; Medic
Team Fortress 2; Medic
Tech; Batman, Black Panther, Bowser Jr., Brainiac 5, Cassie Lang, Doctor Eggman, Hank Pym, Hope van Dyne, Iron Lad, Iron Man, Ironheart, Janet van Dyne, Nadia van Dyne, Scott Lang, War Machine
Tech Genius; Beth Johanssen
Teen Titans; Bart Allen, Beast Boy, Wally West
Teenager; Amy Cahill, Audrey Ramirez
Teleportation; Glimmer
Teleporter; Blink
Tempted By Darkness; Ryu
The Princess Alliance; Adora, Glimmer
Thorin and Company; Bilbo Baggins
Thunder; Thor
Thunderbolts; Hawkeye
Time Traveler; Billy Pilgrim, Booster Gold, Dana Franklin, Iron Lad
Timid; Bernadetta
Titan; Thanos
Tomboy; Korra, Princess Daisy, Scout Finch
Top Hats; Caesar Anthonio Zeppeli
Town Guard; Bard the Bowman
Tragic Backstory; Chun-Li
Trained; Anton Chigurh
Transforming; Adora, Captain Marvel Jr., Captain Marvel, Mary Marvel
Traumatic Past; Elsa
Traumatized; Zuko
Tribal; Aloy
Trick Arrows; Green Arrow, Hawkeye
Trickster; Claude
Trinity; Batman, Superman
Turret; Bastion
Twins; Aurora|Northstar, Northstar|Aurora
USAvengers; Cannonball
Ultimates (Team); America Chavez, Black Panther, Blue Marvel
Uncle; Amos Kane
Undead; Brook
VR (Augumented Reality); Akihide Karatsu
Vampire Hunter; Abraham Van Helsing, Alucard, Arthur Holmwood, John Seward, Jonathan Harker, Mina Harker, Quincey Morris
Vault Hunter; Amara, Axton, Brick
WWII; Billy Pilgrim, Captain America, Jay Garrick
War Hammer; Arthas Menethil
Warlock; Ruby Rider
Warm Hugs; Olaf
Water; Aquaman
Water Bender; Katara
Water Powers; Katara
Weasely; Arthur Weasley
Weasley; Bill Weasley, Ginny Weasley, Ron Weasley
Weather Powers; Storm
Webtoon; Anna Croft
Weelchair; Barbara Gordon
Wilderness; Brian Robeson
Wise; Iroh
Witch; Bayonetta
Wizard; Albus Dumbledore, Arthur Weasley, Bill Weasley, Fleur Delacour, Ginny Weasley, Harry Potter, Hearthstone, Hermione Granger, Kalathos Sunstrider, Ron Weasley
Wookie; Chewbacca
Word of Power; Captain Marvel Jr., Captain Marvel, Mary Marvel
Writer; Alan Wake, Dana Franklin
X-Men; Angel, Armor, Aurora, Banshee, Beast, Blink, Cannonball, Northstar, Quicksilver, Scarlet Witch, Storm
X-Men (Core); Psylocke
X-Men (Extended); Psylocke
X-Men First Class; Angel, Beast
Yin & Yang; Catherine|Shamir, Shamir|Catherine
Young; Amadeus Cho, Boun
Young Avengers; America Chavez, Iron Lad
Young Justice; Amethyst, Bart Allen, Wally West
Young X-Men; Anole, Armor
Youngest; Beth Johanssen
