; Hulk, Leia Organa
Dream Powers; Alice Johnson, Gran'ma Ben, Thorn Harvestar
Droids; BB-8, C3PO, R2-D2
Dumbledore's Army; Ginny Weasley, Harry Potter, Hermione Granger, Ron Weasley
Duo; Banjo|Kazooie, Beaker|Dr. Bunsen Honeydew, Bert|Ernie, Blitzen|Hearthstone, Blue Stupid Rat Creature|Brown Stupid Rat Creature, Blue|Red (Pokemon), Booster Gold|Ted Kord, Brown Stupid Rat Creature|Blue Stupid Rat Creature, Bucky Barnes|Captain America, C3PO|R2-D2, Chewbacca|Han Solo, Dr. Bunsen Honeydew|Beaker, Ernie|Ernie, Han Solo|Chewbacca, Hearthstone|Blitzen, Kazooie|Banjo, Kristoff|Sven, Luigi|Mario, Mario|Luigi, R2-D2|C3PO, Red (Pokemon)|Blue, Sven|Kristoff, Ted Kord|Booster Gold
Dwarf; Blitzen
Earth Bender; Bolin, Toph Beifong
Earth-2; Alan Scott, Kal-L
Earth-295; Blink
Earth-3; Alexander Luthor Jr.
Earth-Prime; Superboy Prime
Edgy; Aphelios, Hubert
Einharjar; Alex Fierro, Magnus Chase
Electric Mayhem; Animal
Elemental; Elsa, Ruby Rider
Elf; Akkar, Hearthstone, Kalathos Sunstrider
Emperor; Zuko
Empress; Edelgard
Engineer; Audrey Ramirez, Bill Kerman
Espionage; Black Widow
Estate Agent; Jonathan Harker
Evil; Anton Chigurh
Evil King; Bowser
Exile; Azula, Iroh, Pariah, Zuko
Exiled Royalty; Gran'ma Ben, Thorn Harvestar
Exiles; Iron Lad
Exiles (Team); Blink
Explorer; Captain Kirk
Explosion Happy; Dr. Bunsen Honeydew
Eye of Anibus; Walt Stone
Eye of Horus; Carter Kane
Eye of Isis; Sadie Kane
Eye of Ra; Zia Rashid
Face Paint; Suki
Fairies; Abby Cadabby
Fallen Paladin; Arthas Menethil
Fans; Suki
Fantastic Four; Bentley-23
Farmer; Applejack
Fashionista; Brook, Hilda
Father; Brom, Ken
Father Figure; Alois
Federal Agent; Allison Blake
Fellowship of the Ring; Aragorn, Boromir
Fiance; Jonathan Harker|Mina Harker, Mina Harker|Jonathan Harker
Fighter; M. Bison
Fire Bender; Azula, Iroh, Zuko
Fire Dragon; Smaug
Fire-Powers; Captain Falcon
First Order; Kylo Ren
Fisherman; Big the Cat
Flight; Angel, Banshee, Falcon
Floor 19; Alex Fierro, Magnus Chase
Football; Alex
Force Sensitive; Rey
Force-Sensitive; Leia Organa, Luke Skywalker
Forgotten Hero; Blue Marvel
Former Criminal; Scott Lang
Former Immortal; Calypso
Frenemy; Baljeet Tjinder|Buford Van Stomm, Buford Van Stomm|Baljeet Tjinder
Friends; Annette|Mercedes, Mercedes|Annette
Frozen in Ice; Aang
Future Child; Bart Allen
Future Foundation; Bentley-23
Future Sight; Agatha, Anna Croft
Future Tech; Amy Ferrier, Booster Gold, Brainiac 5
GCPD; Jim Gordon
Galactic Empire; Darth Vader
Galactic Republic (Star Wars); Anakin Skywalker, C3PO, Mace Windu, Obi-Wan Kenobi, Qui-Gon Jinn, R2-D2, Yoda
Gamma; Amadeus Cho, Hulk
Geek; Rikk, Rumy
Genderfluid; Alex Fierro
Genius; Abraham Van Helsing, Adrian Monk, Amadeus Cho, Amy Cahill, Annabeth Chase, Asami Sato, Audrey Ramirez, Baljeet Tjinder, Barbara Gordon, Batman, Beast, Bentley-23, Black Panther, Blue Marvel, Bow, Brainiac 5, Doctor Eggman, Dr. Bunsen Honeydew, Hank Pym, Hulk, Iron Man, Ironheart, Nadia van Dyne, Ted Kord, Yang Xiao Long
Gnome; Byllemura Ruby-Eye
God; Apollo, Kratos, Thor
God Slayer; Kratos
Goddess; Athena, Calypso, Sothis
Gold; C3PO
Golden Age; Alan Scott
Golden Deer (Fire Emblem); Byleth, Claude, Hilda
Government; Bruce Ng
Government Agent; Amanda Waller
Grandparent; Gran'ma Ben|Thorn Harvestar, Iris West|Bart Allen
Grandparents; Thorn Harvestar|Gran'ma Ben
Greek; Annabeth Chase, Athena, Kratos, Leo Valdez, Percy Jackson
Green; Alan Scott, Amadeus Cho, Anole, Beast Boy, Brainiac 5, Green Arrow, Hulk
Green Beret; Alfred Pennyworth
Green Lantern; Alan Scott
Gryffindor; Albus Dumbledore, Bill Weasley, Ginny Weasley, Harry Potter, Hermione Granger, Ron Weasley
Guardian; Blaze the Cat, Rosalina, Smaug
Guardians of the Galaxy; Adam Warlock, Agent Venom
Gun-Arm; Barret Wallace
Gym Leader; Blue, Brock
Gymnast; Carmen Cortez, Juni Cortez
Hacker; Alan Bradley, Alyx, Barbara Gordon, Sombra
Half-Elf; Arwen, Glynnric Manassnass, Kareem Par-Al
Hapless Assistant; Beaker
Harry Potter; Lord Voldemort|Death Eater
Harry Potter Main Trio; Harry Potter, Hermione Granger, Ron Weasley
Heavily Armored; Alois
Heiress; Asami Sato
Heiress to Empire; Edelgard
Helmet; Jay Garrick
Heterochromia; Catra
Hitman; Anton Chigurh
Hobbit; Bilbo Baggins
Honorable; Akuma
Horder; Smaug
Horror Game Protagonist; Ashley Brown
Horror Games; Alan Wake
Horror Movie Protagonist; Alice Johnson
Hothead; Ken
House Leaders (Fire Embelm); Edelgard
House Leaders (Fire Emblem); Dimitri
Hulk; Amadeus Cho, Hulk
Husband; Ken
Hydra; Baron Zemo
Hypnotic Beauty; Fleur Delacour
Ice Powers; Elsa
Iconic; Mario
Idiot; Blue Stupid Rat Creature, Brown Stupid Rat Creature
Imaginative; Austin
Immortal; Calypso, Seth, Sothis
Infinity Watch; Adam Warlock
Insect-Themed; Cassie Lang, Hank Pym, Hope van Dyne, Janet van Dyne, Nadia van Dyne, Scott Lang
Insects; Barry B. Benson
Inspiration; Captain George Pollard Jr.|Captain Ahab
Interdimensional; America Chavez, Blaze the Cat, Blink
Interpol; Chun-Li
Introvert; Amazi-Girl, Amy Cahill, Bernadetta
Inventor; Alyx, Anakin Skywalker|C3PO, Doctor Eggman, Dr. Bunsen Honeydew, Iron Man, Ironheart, Leo Valdez, Ted Kord, Yang Xiao Long
